DOI,venue,year,title,subtitle,abstract,authors,keywords,page_from,page_to
10.1145/354324.354352,ASSETS,2000,Neck range of motion and use of computer head controls, ," Computer head controls provide an alternative means of computer access  for people with disabilities. However, a person s ability to use head controls may be reduced if his  or her disability involves neck movement limitations. In this study, 15 subjects without disabilities  and 10 subjects with disabilities received neck range of motion evaluations and performed computer exercises  using head controls. Regression analysis was used to determine the relationship between neck range of  motion and performance on computer exercises. Reduced neck range of motion was found to be correlated  with reduced functional range for moving the cursor across the screen, and reduced accuracy and speed  in icon selection. Fitts Law-type models were fit to the data, indicating higher Fitts law slopes for  subjects with disabilities compared to subjects without disabilities. Results also indicate that vertical  cursor movements are faster than horizontal or diagonal movements. Keywords Disability, head controls,  head movement  ","Edmund LoPresti, David Brienza, Jennifer Angelo, Lars Gilbertson, Jonathan Sakai","disability, head controls, head movement",121,128
10.1145/354324.354354,ASSETS,2000,Investigating the applicability of user models for motion-impaired users, ," This paper considers  the differences between users with motion-impairments and able-bodied users when they interact with computers  and the implications for user models. Most interface design and usability assessment practices are based  on explicit or implicit models of user behaviour. This paper studies the applicability of an existing  interface design user model to motion-impaired users for the relatively straightforward task of button  activation. A discussion of the empirical results is provided and the paper concludes that there are  significant differences between the behaviour of motion-impaired users and the accepted modelling theory.   Keywords Universal Access, motion-impaired users, user models ","Simeon Keates, John Clarkson, Peter Robinson","motion-impaired users, universal access, user models",129,136
10.1145/354324.354355,ASSETS,2000,Evaluation of scanning user interfaces using real-time-data usage logs, ," This research concerns the use of Human Computer Interaction models to assist in the provision  of the Electronic Assistive Technologies (EAT) for people with severe disabilities. The novel feature  of this work is that the evaluation is conducted through the model-based analysis of automatically generated  usage logs. This analysis provides a source of feedback to clinicians, which has previously been unavailable  from assistive technology users. The overall aim of the research is to provide a set of tools to assist  with the prescription and configuration of assistive technologies. KEYWORDS Electronic Assistive Technology,  Integrated systems, Analysis, Modelling. ","Peter O'Neill, Chris Roast, Mark Hawley","Electronic Assistive Technology, analysis, integrated systems, modelling",137,141
10.1145/354324.354356,ASSETS,2000,A Java programming tool for students with visual disabilities, ," This paper reports on a tool for assisting students with visual disabilities in learning how  to program. The tool is meant to be used by computer science majors learning the proÂ­gramming language  Java. As part of the developmental process of building this tool, we have implemented a rapid prototype  to be used by people with disabilities in order to define appropriate requirements for the full version  of the tool. This requires that the prototype is completely usable via a keyboard and speech interface,  and it is easily adaptable for trying out different strategies. In this paper, we present the motivation  and philosophy of the full tool, called JavaSpeak. We also present the details of a prototype implementation  of JavaSpeak. Keywords: Java, programming tool, students with visual disabilities, learning to program   ","Ann Smith, Joan Francioni, Sam Matzek","Java, learning to program, programming tool, students with visual disabilities",142,148
10.1145/354324.354362,ASSETS,2000,"Programming by voice, VocalProgramming", ,A system that enables a person to program without typing is needed because of the high incidents of repetitive stress injuries among people who program. This paper presents a design for a system that generates environments that enables people to program by voice and a method of determining if the system is successful. It also shows how this generator can be used to support entering data and writing XML documents.,"Stephen Arnold, Leo Mark, John Goldthwaite","XML, computer programming, voice recognition",149,155
10.1145/354324.354363,ASSETS,2000,A semantic transcoding system to adapt Web services for users with disabilities, ,"Among the most critical issues of the internet today is how to make Web content accessible to all users, especially to users with disabilities. To meet the diverse needs and abilities of this population, the Web today calls for the development of new systems and methods to enable the same content to be adapted for display according to specific, often conflicting needs. One way to achieve this goal is through Web con- tent transcoding. This paper presents a system, called Aurora, that transcodes Web content based on semantic rather than syntactic constructs. The goal is to deliver Web-based services (such as auction, search engine, travel, etc.) to a diverse set of users according to their specific needs. Using a schema-driven framework, Aurora extracts and maps Web content into domain-specific XML data based on abstract user goals. In doing so, it separates the meaning Web content from its presentation. The system further enables an extensible set of interface adaptors to generate custom Web pages, on-the-fly, from this standardized XML data. Ultimately, it streamlines and customizes the Web interface to faciliate navigation. The mechanisms of this rule-based semantic transcoding system and its advantages and limitations as a strategy to make Web services more accessible are the subject of this paper.","Anita Huang, Neel Sundaresan","Web accessiblity, Web intermediaries, XML transcoding, adaptability, adaptivity, disabled users",156,163
10.1145/354324.354371,ASSETS,2000,Transcoding proxy for nonvisual web access, ,"These days, the web has been coming to play various types of roles, so each site has been designed in a complex way to integrate as many roles as possible. Web authors tend to cram various functions and many links into one page to improve usability for sighted users. This authoring trend makes nonvisual Web access harder. To solve this problem, we decided to develop a system to transcode already-existing Web pages to be accessible, which works as an intermediary (proxy) between a Web server and a user. Our transcoding proxy consists of 5 modules using 3 kinds of annotations. The user interface of the system is characterized by three transcoding modes: simplification, full-text and original page. In this paper, we will describe an overview of our transcoding proxy as well as the user interface of the system.","Hironobu Takagi, Chieko Asakawa","Web accessibility, annotations, blind, differential, portal, transcoding",164,171
10.1145/354324.354588,ASSETS,2000,Annotation-based transcoding for nonvisual web access, ," These days, Web authors try to describe as much information as possible in one page using various  types of visual effects. This information is visually fragmented into groupings. Blind users read the  Web contents in tag order, but visually fragmented groupings are not accessible using tag order reading.  In addition, the Web contents are designed to be visually appealing using a lot of images. This style  makes nonvisual Web access harder. Therefore we decided to develop an annotation-based transcoding system  to convert already-existing Web pages to be accessible, which works between a Web server and a user.  It consists of two components, one for structural annotations and one for commentary annotations. Structural  annotations are used to recognize visually fragmented groupings as well as to show the importance and  basic role of each group. Commentary annotations are used to give users a useful description of each  grouping. In this paper, we will describe our transcoding method for nonvisual Web access based on the  annotations. Keywords Nonvisual Web access, transcoding system, structural annotation, commentary annotation,  blind ","Chieko Asakawa, Hironobu Takagi","blind, commentary annotation, nonvisual web access, structural annotation, transcoding system",172,179
10.1145/354324.354373,ASSETS,2000,A domain specific language framework for non-visual browsing of complex HTML structures, ,"We present a general framework for navigating complex structures— specifically, tables, frames, and forms—found in web-pages. Our framework is based on an (automatically or manually created) program written in a domain specific language that captures the seman- tic structure of the table/frame/form as well as specifies the strategy to be used for navigating it. We describe our general framework and the domain specific language we have designed.","E. Pontelli, W. Xiong, G. Gupta, A. Karshmer","HTML, Web browsers, domain specific languages",180,187
10.1145/354324.354375,ASSETS,2000,Constructive exploration of spatial information by blind users, ," When blind  people wish to walk through an area not fully known to them, they have to prepare themselves even more  thoroughly than sighted pedestrians. We propose a new approach to support this preparation with the help  of an interactive computer method, called constructive exploraÂ­tion. Using this method, the user is guided  in physically constructing the spatial arrangement to be learned using building blocks. We describe two  implementations of the concept, one with a graspable interface with object tracking and the other employing  a force feedback device. We report on first tests of the implementations. Keywords Orientation aids,  blind users, augmented reality, force feedÂ­back devices ","Jochen Schneider, Thomas Strothotte","augmented reality, blind users, force feedback devices, orientation aids",188,192
10.1145/354324.354380,ASSETS,2000,Wearable interfaces for orientation and wayfinding, ,"People with severe visual impairment need a means of remaining oriented to their environment as they move through it. Three wearable orientation interfaces were developed and evaluated toward this purpose: a stereophonic sonic guide (sonic “carrot”), speech output, and shoulder-tapping system. Street crossing was used as a critical test setting in which to evaluate these interfaces. The shoulder-tapping system was found most universally usable. Considering the great variety of co-morbidities within this population, the authors concluded that a combined tapping/speech interface would provide usability and flexibility to the greatest number of people under the widest range of environmental conditions.","David Ross, Bruce Blasch","blindness, orientation aid, street crossing, wayfinding",193,200
10.1145/638249.638253,ASSETS,2002,From assistive technology to a web accessibility service, ,"This paper considers different ways to enhance access to the World Wide Web for persons with sensory, cognitive, or motor limitations. Paradoxically, while complex Web architectures may seem to have inhibited accessibility, they have broadened the range of points where we can try to improve it. This paper identifies these points and evaluates the advantages and disadvantages of each. In particular, it describes a project to develop a strategy to enhance access that can be distributed across multiple control points and implemented as an aggregation of Web services.","Peter Fairweather, Vicki Hanson, Sam Detweiler, Richard Schwerdtfeger","Web services, World Wide Web, accessibility, adaptive interfaces",4,8
10.1145/638249.638254,ASSETS,2002,Improving the accessibility of aurally rendered HTML tables, ,"Current techniques employed to aurally render HTML tables often result in output that is very difficult for sight-impaired users to understand. This paper proposes TTPML, an XML-compliant markup language, which facilitates the generation of prose descriptions of tabular information. The markup language enables content creators to specify contextual reinforcement of, and linear navigation through, tabular information. The markup language may be applied to pre-existing Web content and is reusable across multiple tables. TTPML may be interpreted by origin servers, proxy servers, or browsers. We believe that our approach benefits sight-impaired users by improving accessibility to tabular information.","Robert Filepp, James Challenger, Daniela Rosu","Web accessibility, XML, aural interfaces, tables",9,16
10.1145/638249.638255,ASSETS,2002,Web accessibility for low bandwidth input, ,"One of the first, most common, and most useful applications that today's computer users access is the World Wide Web (web). One population of users for whom the web is especially important is those with motor disabilities, because it may enable them to do things that they might not otherwise be able to do: shopping; getting an education; running a business. This is particularly important for low bandwidth users: users with such limited motor and speech that they can only produce one or two signals when communicating with a computer. We present requirements for low bandwidth web accessibility, and two tools that address these requirements. The first is a modified web browser, the second a proxy that modifies HTML. Both work without requiring web page authors to modify their pages.","Jennifer Mankoff, Anind Dey, Udit Batra, Melody Moore","WWW, low bandwidth input, motor impairment, web proxy",17,24
10.1145/638249.638256,ASSETS,2002,"Navigation of HTML tables, frames, and XML fragments", ,"In this paper, we provide a progress report on the development of technology to support the non-visual navigation of complex HTML and XML structures.","E. Pontelli, D. Gillan, W. Xiong, E. Saad, G. Gupta, A. Karshmer","Web Accessibility, visually impaired users",25,32
10.1145/638249.638258,ASSETS,2002,Sketching images eyes-free,a grid-based dynamic drawing tool for the blind,"In this paper we describe one method of transforming a mouse-based graphical user interface into a navigable, grid-based auditory interface. We also report the results of an experiment that tested the effectiveness of a drawing tool for the blind called IC2D that uses this interaction style. The experiment included eight visually impaired participants and eight blindfolded sighted participants. The results show that auditory interpretation of graphics is an effective interface technique for visually impaired users. Further, the experiment demonstrates that visually impaired users can develop meaningful drawings when given adequate technological support.","Hesham Kamel, James Landay","IC2D, auditory user interfaces, drawing, graphical semantic enhancement, graphics, grid, visually impaired",33,40
10.1145/638249.638259,ASSETS,2002,Design and implementation of virtual environments training of the visually impaire, ,"This paper presents the virtual reality applications developed for the feasibility study tests of the EU funded IST project ENORASI. ENORASI aims at developing a highly interactive and extensible haptic VR training system that allows visually impaired people, especially those blind from birth, to study and interact with various virtual objects. A number of custom applications have been developed based on the interface provided by the CyberGrasp haptic device. Eight test categories were identified and corresponding tests were developed for each category. Twenty-six blind persons conducted the tests and the evaluation results have shown the degree of acceptance of the technology and the feasibility of the proposed approach.","D. Tzovaras, G. Nikolakis, G. Fergadis, S. Malasiotis, M. Stavrakis","haptics, training, virtual environments, visually impaired",41,48
10.1145/638249.638260,ASSETS,2002,Multimodal feedback,establishing a performance baseline for improved access by individuals with visual impairments,"Multimodal interfaces have the potential to enhance a user's overall performance, especially when one perceptual channel, such as vision, is compromised. This research investigated how unimodal, bimodal, and trimodal feedback affected the performance of fully sighted users. Limited research exists that investigates how fully sighted users react to multimodal feedback forms, and to-date even less research is available that has investigated how users with visual impairments respond to multiple forms of feedback. A complex direct manipulation task, consisting of a series search and selection drag-and-drop subtasks, was evaluated in this study. The multiple forms of feedback investigated were auditory, haptic and visual. Each form of feedback was tested alone and in combination. User performance was assessed through measures of workload time. Workload was measured objectively and subjectively, through the physiological measure of pupil diameter and a portion of the NASA Task Load Index (TLX) workload survey, respectively. Time was captured by a measure of how long it took to complete a particular element of the task. The results demonstrate that multimodal feedback improves the performance of fully sighted users and offers great potential to users with visual impairments. As a result, this study serves as a baseline to drive the research and development of effective feedback combinations to enhance performance for individuals with visual impairments.","Holly Vitense, Julie Jacko, V. Emery","auditory, feedback, haptic, human-computer interaction, multimodal, visual, visual impairment",49,56
10.1145/638249.638261,ASSETS,2002,Multimodal virtual reality versus printed medium in visualization for blind people, ,"In this paper, we describe a study comparing the strengths of a multimodal Virtual Reality (VR) interface against traditional tactile diagrams in conveying information to visually impaired and blind people. The multimodal VR interface consists of a force feedback device (SensAble PHANTOM), synthesized speech and non-speech audio. Potential advantages of the VR technology are well known however its real usability in comparison with the conventional paper-based medium is seldom investigated. We have addressed this issue in our evaluation. The experimental results show benefits from using the multimodal approach in terms of more accurate information about the graphs obtained by users.","Wai Yu, Stephen Brewster","assistive technology, haptics, human computer interaction, multimodal interface, virtual reality",57,64
10.1145/638249.638263,ASSETS,2002,Auditory and tactile interfaces for representing the visual effects on the web, ,"In this paper, we describe auditory and tactile interfaces to represent visual effects nonvisually for blind users, allowing intuitive recognition of visual content that appears on the Web. This research examines how visual effects could be recognized by blind subjects using the senses of hearing and touch, aiming at integrating the results into a practical system in the future. As an initial step, two experiments were performed, one for sonification and tactilization of a page overview based on color-based fragmented groupings without speech, and one for sonification and tactilization of emphasized text based on analyzing rich text information with speech. The subjects could recognize visual representations presented by auditory and tactile interfaces throughout the experiment, and were conscious of the importance of the visual structures. We believe this shows our approach may be practical and available in the future.We will summarize our results and discuss what kind of information is suitable for each sense, as well as the next planned experiment and other future work.","Chieko Asakawa, Hironobu Takagi, Shuichi Ino, Tohru Ifukube","auditory interface, blind, nonvisual, sonification, tactile interface, tactilization",65,72
10.1145/638249.638264,ASSETS,2002,"Planning, reasoning, and agents for non-visual navigation of tables and frames", ,"In this paper we demonstrate how the DSL for Table navigation [16] can be reinterpreted in the context of an <i>action theory</i> [8]. We also show how this generalization provides the ability to carry out more complex tasks such as (<i>i</i>) allowing the user to describe the objective of his/her navigation as a goal and let automatic mechanisms (i.e., a <i>planner</i>) develop (part of) the navigation process; and (<i>ii</i>) allowing the semantic description to predefine not only complete navigation strategies (as in [16]) but also partial skeletons, making the remaining part of the navigation dependent on run-time factors, e.g., user's goals, specific aspects of the table's content, User's run-time decisions.","Enrico Pontelli, Tran Son","agents, domain specific language, semantics navigation",73,80
10.1145/638249.638265,ASSETS,2002,Site-wide annotation,reconstructing existing pages to be accessible,"The Web has become a new information resource for the blind. However, Web accessibility is becoming worse, since page authors tend to care only for the visual appearance. We have developed an Accessibility Transcoding System to solve this problem. This system has the ability to transcode complete pages on annotated sites into totally accessible pages without changing the original pages. However, site-wide annotation authoring is an extremely tedious and time-consuming task. This prevented us from applying our transcoding system to a wide variety of sites. In order to overcome this difficulty, we developed a new algorithm, ""Dynamic Annotation Matching"". By utilizing this algorithm, our transcoding system can automatically determine appropriate annotations based on each page's layout. We also developed a site-wide annotation-authoring tool, ""Site Pattern Analyzer."" We evaluated the feasibility of creating site-wide annotations by using the algorithm and the tool, and report on our success here.","Hironobu Takagi, Chieko Asakawa, Kentarou Fukuda, Junji Maeda","Web Accessibility, annotation, layout-based annotation matching, transcoding",81,88
10.1145/638249.638266,ASSETS,2002,Using handhelds to help people with motor impairments, ,"People with Muscular Dystrophy (MD) and certain other muscular and nervous system disorders lose their gross motor control while retaining fine motor control. The result is that they lose the ability to move their wrists and arms, and therefore their ability to operate a mouse and keyboard. However, they can often still use their fingers to control a pencil or stylus, and thus can use a handheld computer such as a Palm. We have developed software that allows the handheld to substitute for the mouse and keyboard of a PC, and tested it with four people (ages 10, 12, 27 and 53) with MD. The 12-year old had lost the ability to use a mouse and keyboard, but with our software, he was able to use the Palm to access email, the web and computer games. The 27-year-old reported that he found the Palm so much better that he was using it full-time instead of a keyboard and mouse. The other two subjects said that our software was much less tiring than using the conventional input devices, and enabled them to use computers for longer periods. We report the results of these case studies, and the adaptations made to our software for people with disabilities.","Brad Myers, Jacob Wobbrock, Sunny Yang, Brian Yeung, Jeffrey Nichols, Robert Miller","Muscular Dystrophy, Palm pilot, Pebbles, Personal Digital Assistants (PDAs), assistive technologies, disabilities, hand-held computers, handicapped",89,96
10.1145/638249.638268,ASSETS,2002,Ongoing investigation of the ways in which some of the problems encountered by some dyslexics can be alleviated using computer techniques, ,"This paper describes the ongoing development of a highly configurable word processing environment developed using a pragmatic, obstacle-by-obstacle approach to alleviating some of the visual problems encountered by dyslexic computer users. The paper describes the current version of the software and the development methodology as well as the results of a pilot study which indicated that visual environment individually configured using the SeeWord software improved reading accuracy as well as subjectively rated reading comfort.","Anna Dickinson, Peter Gregor, Alan Newell","configuration, dyslexia, user-centred design, word processing",97,103
10.1145/638249.638269,ASSETS,2002,Virtual environments for social skills training,the importance of scaffolding in practice,"Virtual Environments (VE's) offer the potential for users to explore social situations and 'try out' different behaviour responses for a variety of simulates social interactions. One of the challenges for the VE developer is how to construct the VE to allow freedom of exploration and flexibility in interactive behaviour, without the risk of users deliberately or inadvertently missing important learning goals. Scaffolding embedded within the VE software can aid the user's learning in different contexts, such as individual, tutored or group learning situations. This paper describes two single-user VE scenarios that have been developed within the AS interactive project and presents observation results from initial trials conducted at a user school.","Steven Kerr, Helen Neale, Sue Cobb","Virtual Environments, autism, scaffolding of learning, social skills training",104,110
10.1145/638249.638270,ASSETS,2002,Modeling educational software for people with disabilities,theory and practice,"Interactive multimedia learning systems are not suitable for people with disabilities. They tend to propose interfaces which are not accessible for learners with vision or auditory disabilities. Modeling techniques are necessary to map real world experiences to virtual worlds by using 3D auditory representations of objects for blind people and visual representations for deaf people. In this paper we describe common aspects and differences in the process of modeling the real world for applications involving tests and evaluations of cognitive tasks with people with reduced visual or auditory cues. To validate our concepts, we examine two existing systems using them as examples: AudioDoom and Whisper. AudioDoom allows blind children to explore and interact with virtual worlds created with spatial sound. Whisper implements a workplace to help people with impaired auditory abilities to recognize speech errors. The new common model considers not only the representation of the real world as proposed by the system but also the modeling of the learner's knowledge about the virtual world. This can be used by the tutoring system to enable the learner to receive relevant feedback. Finally, we analyze the most important characteristics in developing systems by comparing and evaluating them and proposing some recommendations and guidelines.","Nelson Baloian, Wolfram Luther, Jaime S&#225;nchez","modeling methodologies, sensory disabilities, tutoring systems, user adapted interfaces",111,118
10.1145/638249.638272,ASSETS,2002,Zooming interfaces!,enhancing the performance of eye controlled pointing devices,"This paper quantifies the benefits and usability problems associated with eye-based pointing direct interaction on a standard graphical user interface. It shows where and how, with the addition of a second supporting modality, the typically poor performance and subjective assessment of eye-based pointing devices can be improved to match the performance of other assistive technology devices. It shows that target size is the overriding factor affecting device performance and that when target sizes are artificially increased by 'zooming in' on the interface under the control of a supporting modality then eye-based pointing becomes a viable and usable interaction methodology for people with high-level motor disabilities.","Richard Bates, Howell Istance","assistive technology, eye-tracking, graphical user interfaces, pointing devices, zoom screen",119,126
10.1145/638249.638273,ASSETS,2002,HaWCoS,"the ""hands-free"" wheelchair control system","A system allowing to control an electrically powered wheelchair without using the hands is introduced. HaWCoS -- the ""<i>Ha</i>nds-free"" <i>W</i>heelchair <i>Co</i>ntrol System -- relies upon muscle contractions as input signals. The working principle is as follows. The constant stream of EMG signals associated with any arbitrary muscle of the wheelchair driver is monitored and reduced to a stream of contraction events. The reduced stream affects an internal program state which is translated into appropriate commands understood by the wheelchair electronics. The feasibility of the proposed approach is illustrated by a prototypical implementation for a state-of-the-art wheelchair. Operating a HaWCoS-wheelchair requires extremely little effort, which makes the system suitable even for people suffering from <i>very</i> severe physical disabilities.","Torsten Felzer, Bernd Freisleben","EMG signal, electrical wheelchair, muscle control",127,134
10.1145/638249.638274,ASSETS,2002,Cursor measures for motion-impaired computer users, ,"""Point and click"" interactions remain one of the key features of graphical user interfaces (GUIs). People with motion-impairments, however, can often have difficulty with accurate control of standard pointing devices. This paper discusses work that aims to reveal the nature of these difficulties through analyses that consider the cursor's path of movement. A range of potential cursor measures was applied, and a number of them were found to be significant in capturing the differences between able-bodied users and motion-impaired users, as well as the differences between a haptic force feedback condition and a control condition. cursor measures found in the literature, however, do not make up a comprehensive list, but provide a starting point for analysing cursor movements more completely. Six new cursor characteristics for motion-impaired users are introduced to capture aspects of cursor movement different from those already proposed.","Simeon Keates, Faustina Hwang, Patrick Langdon, P. Clarkson, Peter Robinson","cursor studies, force feedback, motion-impaired users",135,142
10.1145/638249.638275,ASSETS,2002,An invisible keyguard, ,"Overlap errors, in which two keys are pressed down at once, are a common typing error for people with motor disabilities. Keyguards are a commonly suggested means to may reduce overlap errors. However, they are also unpopular with many users. We present an alternative to the keyguard, a software filter which targets overlap errors. Basic, keystroke timing-based, and language-based techniques for identifying and correcting overlap errors are described. Their performance is compared using a corpus of typing data recorded by keyboard users with motor disabilities. The best filter performance was obtained by keystroke timing characteristics to identify and filter out extra characters. Accuracy of error identification was dependent on the typing style of the user. The filter accurately corrected 80% of the overlap errors presented. Combining the identification and correction techniques gave a 50--75% reduction in errors for the three study participants with the highest error rates.",Shari Trewin,"OverlapKeys, accessibility, keyboard, keyguard, motor disabilities, typing errors",143,149
10.1145/638249.638277,ASSETS,2002,Designing for dynamic diversity,interfaces for older people,"In this paper, we describe why designers need to look beyond the twin aims of designing for the 'typical' user and designing ""prostheses"". Making accessible interfaces for older people is a unique but many-faceted challenge. Effective applications and interface design needs to address the dynamic diversity of the human species. We introduce a new design paradigm, Design for Dynamic Diversity, and suggest a methodology to assist its achievement, User Sensitive Inclusive Design.To support our argument for a new form of design we report experimentation, which indicates that older people have significantly different and dynamically changing needs. We also put forward initial solutions for Designing for Dynamic Diversity, where memory, vision and confidence provide the parameters for discussion, and illustrate the importance of User Sensitive Inclusive Design in establishing a framework for the operation of Design for Dynamic Diversity.","Peter Gregor, Alan Newell, Mary Zajicek","Design for Dynamic Diversity, HCI, User Sensitive Inclusive Design, aging, design for all, older people, universal accessibility, usability engineering",151,156
10.1145/638249.638278,ASSETS,2002,A novel multi-stage approach to the detection of visuo-spatial neglect based on the analysis of figure-copying tasks, ,"This paper examines a computer-based technique for the detection of visuo-spatial neglect from the responses of a simple geometric shape copying task. Defining pass/fail criteria based on the presence of drawn components, responses can be accurately and objectively assessed. More importantly, we show that by analysing novel dynamic performance features detailing timing and constructional aspects of each response, significant performance deficits can be noted in drawings made by clinically diagnosed neglect subjects that would have been classified as 'normal' using conventional static analysis, thus improving the sensitivity of the assessment.","R. Guest, M. Fairhurst","automated diagnosis, drawing analysis, visuo-spatial neglect",157,161
10.1145/638249.638279,ASSETS,2002,Assistive social interaction for non-speaking people living in the community, ,"The move from institution to community care has resulted in more disabled and elderly people receiving care at home. For some, their disability or frailty prevents them from being involved in social activities outside the home, resulting in unacceptable social isolation. This problem is compounded if the person has a speech or language impairment. In general, social interaction is important for people, and they often use stories, pictures and other media to present important events to others, In this paper, we will describe a communication service designed to provide non-speaking people with a means to interact socially when living independently, based on the sharing of stories using pictures and other media.","Nick Hine, John Arnott","Internet, assitive communication, community care, social isolation, videoconferencing",162,169
10.1145/638249.638280,ASSETS,2002,Older adults' evaluations of speech output, ,"Speech output is frequently used to provide access to interactive systems for visually impaired users, many of whom are older adults. This paper considers the use of speech output within the context of an Intelligent Home System designed to allow older adults to remain living independently for longer. The importance of user evaluations of the system 'voice' in this context is discussed and an experiment is reported that investigated the effect of voice gender and type (natural or synthetic) on older users' evaluations. A within-subjects factorial design was used with sixteen participants over the age of 65. The results show that male voices were preferred to female voices overall and natural voices were preferred to synthetic voices. The implications of these results for the choice of system voice characteristics for speech output are discussed.","Lorna Lines, Kate Hone","assistive technology, human-computer interaction, intelligent home systems., older adults, speech output, visual impairment",170,177
10.1145/638249.638282,ASSETS,2002,Speech-based cursor control, ,"Speech recognition can be a powerful tool for individuals with physical disabilities that hinder their ability to use traditional input devices. State-of-the-art speech recognition systems typically provide mechanisms for both data entry and cursor control, but the researchers continue to investigate methods of improving these interactions. Numerous researchers are investigating methods to improve the underlying technologies that make speech recognition possible and others focus on understanding the difficulties users experience using dictation-oriented applications, but few researchers have investigated the issues involved in speech-based cursor control. In this article, we describe a study that investigates the efficacy of two variations of a standard speech-based cursor control mechanism. One employs the standard mouse cursor while the second provides a predictive cursor designed to help users compensate for the delays often associated with speech recognition. As expected, larger targets and shorter distances resulted in shorter target selection times while larger targets also resulted in fewer errors. Although there were no differences between the standard and predictive cursors, a relationship between the delays associated with spoken input, the speed at which the cursor moves, and the minimum size for targets that can be reliably selected emerged that can guide the application of similar speech-based cursor control mechanisms as well as future research.","Azfar Karimullah, Andrew Sears","cursor, mouse cursor, navigation, predictive, speech recognition",178,185
10.1145/638249.638283,ASSETS,2002,A predictive Blissymbolic to English translation system, ,This paper reports on the use of predictive techniques to translate Blissymbol sentences into grammatically correct English. Evaluations of this approach show that it is possible to translate short sentences by analysing the likelihood of word tri-gram occurrences in English source texts. The translation system is designed to be a component of a Blissymbol word processor which allows users to convert Blissymbol sentences into grammatically correct English.,"Annalu Waller, Kris Jack","AAC, Blissymbolics, natural language translation",186,191
10.1145/638249.638284,ASSETS,2002,Speech recognition in university classrooms,liberated learning project,"The LIBERATED LEARNING PROJECT (LLP) is an applied research project studying two core questions:1) Can speech recognition (SR) technology successfully digitize lectures to display spoken words as text in university classrooms?2) Can speech recognition technology be used successfully as an alternative to traditional classroom notetaking for persons with disabilities?This paper addresses these intriguing questions and explores the underlying complex relationship between speech recognition technology, university educational environments, and disability issues.","Keith Bain, Sara Basson, Mike Wald","accessibility, higher education, speech recognition",192,196
10.1145/638249.638285,ASSETS,2002,Voice over Workplace (VoWP),voice navigation in a complex business GUI,"Voice interfaces can be used to meet some accessibility requirements for physically disabled users, but only if they address inherent usability problems, namely, the trade-off between user efficiency and ambiguity handling. This paper explores usability issues related to voice interfaces for complex GUIs. We present two user studies on a series of interface designs to support voice navigation within a complex business GUI, and discuss the findings as they relate to efficiency and ambiguity handling. We conclude by discussing future directions for this work, including the addition of data input capabilities, which will be necessary to provide a truly accessible solution.","Frankie James, Jeff Roelands","GUI, accessibility, physical disabilities, user studies, voice interface",197,204
10.1145/638249.638287,ASSETS,2002,"Tessa, a system to aid communication with deaf people", ,"TESSA is an experimental system that aims to aid transactions between a deaf person and a clerk in a Post Office by translating the clerk's speech to sign language. A speech recogniser recognises speech from the clerk and the system then synthesizes the appropriate sequence of signs in British Sign language (BSL) using a specially-developed avatar. By using a phrase lookup approach to language translation, which is appropriate for the highly constrained discourse in a Post Office, we were able to build a working system that we could evaluate. We summarise the results of this evaluation (undertaken by deaf users and Post office clerks), and discuss how the findings from the evaluation are being used in the development of an improved system.","Stephen Cox, Michael Lincoln, Judy Tryggvason, Melanie Nakisa, Mark Wells, Marcus Tutt, Sanja Abbott","Aids for the Deaf, avatars, interactive systems, speech recognition, translation systems",205,212
10.1145/638249.638288,ASSETS,2002,"Capturing phrases for ICU-Talk, a communication aid for intubated intensive care patients.", ,"The need for intubated patients, within the intensive care setting, to communicate more effectively led to the development of ICU-Talk, an augmentative and alternative communication aid. The communication aid contains a database containing both core and patient-specific vocabulary. Many users of communication aids can provide direct input into the vocabulary, but intensive care patients are not in this position. This paper discusses the methods chosen to gather the vocabulary for an intensive care setting.","S. Ashraf, A. Judson, I. Ricketts, A. Waller, N. Alm, B. Gordon, F. MacAulay, J. Brodie, M. Etchels, A. Warden, A. Shearer","AAC, ICU, communication, vocabulary",213,217
10.1145/638249.638289,ASSETS,2002,A new generation of communication aids under the ULYSSES component-based framework, ,"In this paper, we introduce a new generation of computer-based communication aids, designed and developed using state of the art software engineering models and architectures. The communicators we present are based on a component-based framework called ULYSSES that aims to simplify the integration of multi-vendor components into low cost products and maximizes modularity and reusability. Following the ULYSSES approach, one can build up powerful and reliable applications, adaptable to various user needs and requirements. For <i>developers</i> of AAC components, ULYSSES provides an engineering-for-reuse environment with guidelines and tools to build software modules, which can operate effectively and interact with each other transparently, without even being aware of each other's existence. Furthermore, ULYSSES grants a process of engineering-with-reuse for AAC system <i>integrators</i> for the selection and assembly of components on demand to build user-specific robust communicators out of pre-fabricated software parts. Thus, adding or removing characteristics and features as needed, is becoming an easy task for system AAC systems integrators. Three complete Interpersonal Communication Aids are presented as cases of ULYSSES application in this specific domain.","Georgios Kouroupetroglou, Alexandros Pino","Augmentative and Alternative Communication (AAC), communication aids, communicators, component based development, framework architecture",218,225
