Index,Author,Title,Keyword,DOI,Venue,Year,CommunityOfFocus-BVI,CommunityOfFocus-DHH,CommunityOfFocus-IDD,CommunityOfFocus-MotorPhysical,CommunityOfFocus-Autism,CommunityOfFocus-Cognitive,CommunityOfFocus-OlderAdult,CommunityOfFocus-GeneralDisability,CommunityOfFocus-Other,IssueAddressed-IncreaseDigitalAccess,IssueAddressed-IncreasePhysicalAccess,IssueAddressed-IncreaseIndependence,IssueAddressed-IncreaseUnderstandingOfUsers,IssueAddressed-HelpWithPersonalInformaticsBehaviorChange,IssueAddressed-SupportCommunication,IssueAddressed-Other,ContributionType-Empirical,ContributionType-Artifact,ContributionType-Methodological,ContributionType-Theoretical,ContributionType-Dataset,ContributionType-SurveyContribution,StudyMethod-ControlledExperiment,StudyMethod-SurveyMethod,StudyMethod-UsabilityTesting,StudyMethod-Interviews,StudyMethod-CaseStudy,StudyMethod-FocusGroups,StudyMethod-FieldStudy,StudyMethod-WorkshopDesign,StudyMethod-Other,ParticipantGroup-OlderAdult,ParticipantGroup-PeopleWithDisability,ParticipantGroup-PeopleWithoutDisability,ParticipantGroup-TherapistsSpecialists,ParticipantGroup-Caregivers,ParticipantGroup-Other,ParticipantGroup-Other-Notes,ParticipantGroup-Other-Crowdworker,ParticipantGroup-NoUserStudy,StudyLocation-NearAtLab,StudyLocation-ParticipantsHomeOrFreqLoc,StudyLocation-NeutralLocation,StudyLocation-Unclear,StudyLocation-OnlineRemotely,StudyLocation-Other,StudyLocation-NoUserStudy,ParticipatoryDesign-Yes,ParticipatoryDesign-No,ComparesOnDisability-Yes,ComparesOnDisability-No,UsesProxies-Yes,UsesProxies-No,Total num Participants,NumParticipants-Group1-Count,NumParticipants-Group1-Population,NumParticipants-Group2-Count,NumParticipants-Group2-Population,NumParticipants-Group3-Count,NumParticipants-Group3-Population,NumParticipants-Group4-Count,NumParticipants-Group4-Population,NumParticipants-Group5-Count,NumParticipants-Group5-Population
259,Radu-Daniel Vatavu,Improving Gesture Recognition Accuracy on Touch Screens for Users with Low Vision  ,"1, P, P+, algorithms, evaluation, gesture recognition, low vision, point clouds, recognition, recognition accuracy, touch gestures, touch screens, visual impairments",10.1145/3025453.3025941,CHI,2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,20,10,BVI,10,NonDisabled,0,0,0,0,0,0
260,Juan Pablo Hourcade and Christopher M. Nguyen and Keith B. Perry and Natalie L. Denburg,Pointassist for older adults analyzing sub-movement characteristics to aid in pointing tasks,"accuracy, assistive technologies, older adults, pointing",10.1145/1753326.1753494,CHI,2010,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,20,20,Older Adult NonDisabled,0,0,0,0,0,0,0,0
261,"Cristian Bernareggi, Dragan Ahmetovic, Sergio Mascetti",μGraph: Haptic Exploration and Editing of 3D Chemical Diagrams  ,"graph accessibility, stem education, visual impairment",10.1145/3308561.3353811,ASSETS,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,14,14,BVI,0,0,0,0,0,0,0,0
262,LouAnne E. Boyd and Alejandro Rangel and Helen Tomimbang and Andrea Conejo-Toledo and Kanika Patel and Monica Tentori and Gillian R. Hayes,SayWAT Augmenting Face-to-Face Conversations for Adults with Autism,"assistive technology, autism, communication, prosody, social skills, wearable computing",10.1145/2858036.2858215,CHI,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,16,2,Specialists,14,Autism,0,0,0,0,0,0
263,"Tapomayukh Bhattacharjee, Maria Cabrera, Anat Caspi, Maya Cakmak, Siddhartha Srinivasa",A Community-Centered Design Framework for Robot-Assisted Feeding Systems  ,"assistive feeding, assistive robotics",10.1145/3308561.3353803,ASSETS,2019,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,25,5,Motor/Physical,5,Caregivers,15,Specialists,0,0,0,0
264,"Raja Kushalnagar, Gary Behm, Joseph Stanislow, Vasu Gupta",Enhancing caption accessibility through simultaneous multimodal information visual-tactile captions,"aural-to-tactile information, caption readability, deaf and hard of hearing users, multi-modal interfaces",10.1145/2661334.2661381,ASSETS,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,48,48,DHH,0,0,0,0,0,0,0,0
265,Varsha Koushik and Darren Guinness and Shaun K. Kane,StoryBlocks A Tangible Programming Game To Create Accessible Audio Stories,"audio interfaces, computer science education, cross-ability collaboration, storytelling, tangible user interfaces",10.1145/3290605.3300722,CHI,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,16,5,BVI,11,Teachers,0,0,0,0,0,0
266,Larwan Berke and Sushant Kafle and Matt Huenerfauth,Methods for Evaluation of Imperfect Captioning Tools by Deaf or Hard-of-Hearing Users at Different Reading Literacy Levels  ,"accessibility, captioning, evaluation methods, literacy, people who are deaf or hard-of-hearing",10.1145/3173574.3173665,CHI,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,107,107,DHH,0,0,0,0,0,0,0,0
267,Euan Freeman and Graham Wilson and Stephen Brewster and Gabriel Baud-Bovy and Charlotte Magnusson and Hector Caltenco,Audible Beacons and Wearables in Schools Helping Young Visually Impaired Children Play and Move Independently,"beacons, children, play, visual impairment, wearables",10.1145/3025453.3025518,CHI,2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,71,57,Specialists,10,BVI,4,Caregivers,0,0,0,0
268,Erin Brady and Meredith Ringel Morris and Yu Zhong and Samuel White and Jeffrey P. Bigham,Visual challenges in the everyday lives of blind people  ,"accessibility, blind users, crowdsourcing, mobile, Q&A",10.1145/2470654.2481291,CHI,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5329,5329,BVI,0,0,0,0,0,0,0,0
269,Gazihan Alankus and Amanda Lazar and Matt May and Caitlin Kelleher,Towards customizable games for stroke rehabilitation  ,"design, stroke rehabilitation, video games",10.1145/1753326.1753649,CHI,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,4,Motor/Physical,unclear,Therapists,0,0,0,0,0,0
270,"Jonggi Hong, Alisha Pradhan, Jon Froehlich, Leah Findlater",Evaluating Wrist-Based Haptic Feedback for Non-Visual Target Finding and Path Tracing on a 2D Surface  ,"accessibility, blind user, haptic feedback, haptic wristband, wearable computing",10.1145/3132525.3132538,ASSETS,2017,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,27,11,NonDisabled,16,BVI,0,0,0,0,0,0
271,Kyungjun Lee and Hernisa Kacorri,Hands Holding Clues for Object Recognition in Teachable Machines  ,"blind, egocentric, hand, k-shot learning, object recognition",10.1145/3290605.3300566,CHI,2019,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,student expert in ML,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,BVI,1,Other,0,0,0,0,0,0
272,Mikko Kytö and Laura Maye and David McGookin,Using Both Hands Tangibles for Stroke Rehabilitation in the Home,"bilateral, bimanual, home, rehabilitation, stroke, tangible interaction",10.1145/3290605.3300612,CHI,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,7,5,Motor/Physical,2,Caregivers,0,0,0,0,0,0
273,"Uran Oh, Lee Stearns, Alisha Pradhan, Jon Froehlich, Leah Findlater",Investigating Microinteractions for People with Visual Impairments and the Potential Role of On-Body Interaction  ,"microinteraction, mobile, on-body interaction, visual impairments, wearable technology",10.1145/3132525.3132536,ASSETS,2017,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,129,73,BVI,56,NonDisabled,0,0,0,0,0,0
274,Martez E. Mott and Radu-Daniel Vatavu and Shaun K. Kane and Jacob O. Wobbrock,Smart Touch Improving Touch Accuracy for People with Motor Impairments with Template Matching,"ability-based design, accessibility, motor impairment, p recognizer, target acquisition, touch input, touch screens",10.1145/2858036.2858390,CHI,2016,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,10,10,Motor/Physical,0,0,0,0,0,0,0,0
275,"Priscilla Moraes, Gabriel Sina, Kathleen McCoy, Sandra Carberry",Evaluating the accessibility of line graphs through textual summaries for visually impaired users  ,"accessibility, information graphics, natural language generation, visual impairments",10.1145/2661334.2661368,ASSETS,2014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,62,58,NonDisabled,4,BVI,0,0,0,0,0,0
276,"Hugo Nicolau, Joaquim Jorge",Elderly text-entry performance on touchscreens  ,"elderly, mobile, tablet, text-entry, touchscreen, tremor",10.1145/2384916.2384939,ASSETS,2012,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,15,15,Older Adult NonDisabled,0,0,0,0,0,0,0,0
277,Ruolin Wang and Chun Yu and Xing-Dong Yang and Weijie He and Yuanchun Shi,EarTouch Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios,"accessibility, capacitive sensing, eartouch, one-handed interaction, smartphone, vision impairment",10.1145/3290605.3300254,CHI,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,75,75,BVI,0,0,0,0,0,0,0,0
278,"Sarit Szpiro, Shafeka Hashash, Yuhang Zhao, Shiri Azenkot",How People with Low Vision Access Computing Devices Understanding Challenges and Opportunities,"accessibility, computing devices, contextual inquiry, low vision",10.1145/2982142.2982168,ASSETS,2016,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,11,11,BVI,0,0,0,0,0,0,0,0
279,LouAnne E. Boyd and Xinlong Jiang and Gillian R. Hayes,ProCom Designing and Evaluating a Mobile and Wearable System to Support Proximity Awareness for People with Autism,"autism, children, parallel design, proximity, self-monitoring, social skills, wearable computing",10.1145/3025453.3026014,CHI,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,21,11,NonDisabled,10,Autism,unclear,Caregivers,0,0,0,0
280,"Erin Buehler, Shaun Kane, Amy Hurst",ABC and 3D opportunities and obstacles to 3D printing in special education environments,"3d printing, assistive technology, children, cognitive impairment, developmental disability, digital fabrication, rapid prototyping, special education, visual impairment",10.1145/2661334.2661365,ASSETS,2014,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,"Unspecified students, a technology instructor",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,13,13,Specialists,unclear,"Other-Students, technology instructor",0,0,0,0,0,0
281,"Alexandra Vtyurina, Adam Fourney, Meredith Morris, Leah Findlater, Ryen White",VERSE Bridging Screen Readers and Voice Assistants for Enhanced Eyes-Free Web Search,"non-visual search, voice search",10.1145/3308561.3353773,ASSETS,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,65,65,BVI,0,0,0,0,0,0,0,0
282,"David Hayden, Liqing Zhou, Michael Astrauskas, John Black",Note-taker 2.0 the next step toward enabling students who are legally blind to take notes in class,"lecture notes, legal blindness, low vision, note-taker, note-taking",10.1145/1878803.1878828,ASSETS,2010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,5,5,BVI,0,0,0,0,0,0,0,0
283,Guarionex Salivia and Juan Pablo Hourcade,PointAssist assisting individuals with motor impairments,"human-computer interaction, motor impairments, older adults, pointing tasks, sub-movements",10.1145/2470654.2466157,CHI,2013,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,16,16,Motor/Physical,0,0,0,0,0,0,0,0
284,Seita Kayukawa and Keita Higuchi and João Guerreiro and Shigeo Morishima and Yoichi Sato and Kris Kitani and Chieko Asakawa,BBeep A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians,"blind navigation, collision prediction, obstacle avoidance, path clearing, pedestrian detection, visual impairments",10.1145/3290605.3300282,CHI,2019,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,6,6,BVI,0,0,0,0,0,0,0,0
285,Kiley Sobel and Kyle Rector and Susan Evans and Julie A. Kientz,Incloodle Evaluating an Interactive Application for Young Children with Mixed Abilities,"child-computer interaction, children, inclusion, inclusive design, inclusive play, neurodiversity, play, universal design",10.1145/2858036.2858114,CHI,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,32,8,Other-Disabled,8,NonDisabled,16,Caregivers,0,0,0,0
286,Benjamin Petry and Thavishi Illandara and Don Samitha Elvitigala and Suranga Nanayakkara,Supporting Rhythm Activities of Deaf Children using Music-Sensory-Substitution Systems  ,"assistive technology, deaf, design, music, sensory substitution",10.1145/3173574.3174060,CHI,2018,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,11,11,DHH,unclear,Teachers,0,0,0,0,0,0
287,Chat Wacharamanotham and Jan Hurtmanns and Alexander Mertens and Martin Kronenbuerger and Christopher Schlick and Jan Borchers,Evaluating swabbing a touchscreen input method for elderly users with tremor,"accuracy, evaluation, input methods, older adults, swabbing, tapping, touchscreen, tremor",10.1145/1978942.1979031,CHI,2011,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,16,10,Motor/Physical,6,Older Adult Disabled,0,0,0,0,0,0
288,Amanda Lazar and Caroline Edasis and Anne Marie Piper,A Critical Lens on Dementia and Design in HCI  ,"dementia, design, disability, paradigm, theory",10.1145/3025453.3025522,CHI,2017,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,21,8,Caregivers,13,Therapists,unclear,Older Adult Disabled,0,0,0,0
289,Simon Katan and Mick Grierson and Rebecca Fiebrink,Using Interactive Machine Learning to Support Interface Development Through Workshops with Disabled People  ,"accessible interfaces, interactive machine learning, music.",10.1145/2702123.2702474,CHI,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,unclear,General DA,unclear,NonDisabled,0,0,0,0,0,0
290,"Shaun Kane, Meredith Morris, Jacob Wobbrock",Touchplates low-cost tactile overlays for visually impaired touch screen users,"accessibility, blindness, guides, hardware, touch screens, touchplates, visual impairments",10.1145/2513383.2513442,ASSETS,2013,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,9,9,BVI,0,0,0,0,0,0,0,0
291,Brian Scassellati and Jake Brawer and Katherine Tsui and Setareh Nasihati Gilani and Melissa Malzkuhn and Barbara Manini and Adam Stone and Geo Kartheiser and Arcangelo Merla and Ari Shapiro and David Traum and Laura-Ann Petitto,Teaching Language to Deaf Infants with a Robot and a Virtual Human  ,"assistive technology, language development, sign language, social robots, virtual humans",10.1145/3173574.3174127,CHI,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,1,DHH,2,NonDisabled,0,0,0,0,0,0
292,Maria K. Wolters and Jonathan Kilgour and Sarah E. MacPherson and Myroslava Dzikovska and Johanna D. Moore,The CADENCE Corpus A New Resource for Inclusive Voice Interface Design,"assistive technology, cognitive impairment, dementia, replichi, spoken dialogue systems, voice interfaces",10.1145/2702123.2702372,CHI,2015,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,45,35,Older Adult NonDisabled,10,Older Adult Disabled,0,0,0,0,0,0
293,Kotaro Hara and Christine Chan and Jon E. Froehlich,The Design of Assistive Location-based Technologies for People with Ambulatory Disabilities A Formative Study,"accessibility, assistive technology, location-based technology, mobility impairment",10.1145/2858036.2858315,CHI,2016,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,19,19,Motor/Physical,0,0,0,0,0,0,0,0
294,"Lee Stearns, Leah Findlater, Jon Froehlich",Design of an Augmented Reality Magnification Aid for Low Vision Users  ,"assistive technology, augmented reality, low vision, magnification, visual impairment, wearables",10.1145/3234695.3236361,ASSETS,2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,7,7,BVI,0,0,0,0,0,0,0,0
295,Judith Dörrenbächer and Marc Hassenzahl,Changing Perspective A Co-Design Approach to Explore Future Possibilities of Divergent Hearing,"enhancement, hearing impairment, participation, performative methods, positive design, possibility-driven design",10.1145/3290605.3300259,CHI,2019,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,10,10,DHH,0,0,0,0,0,0,0,0
296,"Matt Huenerfauth, Pengfei Lu",Modeling and synthesizing spatially inflected verbs for American sign language animations  ,"American sign language, accessibility technology for people who are deaf, animation, natural language generation",10.1145/1878803.1878823,ASSETS,2010,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,native ASL signers,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,18,18,Other-Signers,0,0,0,0,0,0,0,0
297,Richard Guy and Khai Truong,CrossingGuard exploring information content in navigation aids for visually impaired pedestrians,"geographic data, navigation aids, visually impaired pedestrians, wayfinding",10.1145/2207676.2207733,CHI,2012,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,16,14,BVI,2,Specialists,0,0,0,0,0,0
298,"John Porter, Julie Kientz",An empirical study of issues and barriers to mainstream video game accessibility  ,"access technology, accessibility, video games",10.1145/2513383.2513444,ASSETS,2013,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,61,55,General DA,6,Specialists,0,0,0,0,0,0
299,Jacob Abbott and Haley MacLeod and Novia Nurain and Gustave Ekobe and Sameer Patil,"Local Standards for Anonymization Practices in Health, Wellness, Accessibility, and Aging Research at CHI  ","anonymization, data sharing, meta-hci, methodology, privacy, research reporting",10.1145/3290605.3300692,CHI,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
300,Saiganesh Swaminathan and Thijs Roumen and Robert Kovacs and David Stangl and Stefanie Mueller and Patrick Baudisch,Linespace A Sensemaking Platform for the Blind,"3D printing, accessibility",10.1145/2858036.2858245,CHI,2016,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,6,6,BVI,0,0,0,0,0,0,0,0
301,Xiaojuan Ma and Christiane Fellbaum and Perry R. Cook,SoundNet investigating a language composed of environmental sounds,"assistive technologies, environmental sound, soundnet",10.1145/1753326.1753620,CHI,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2275,2275,Crowdworkers,0,0,0,0,0,0,0,0
302,"LouAnne Boyd, Kathryn Ringland, Heather Faucett, Alexis Hiniker, Kimberley Klein, Kanika Patel, Gillian Hayes",Evaluating an iPad Game to Address Overselectivity in Preliterate AAC Users with Minimal Verbal Behavior  ,"aac, assistive technology, autism, children, language development, multiple cue responding, overselectivity, tablet games",10.1145/3132525.3132551,ASSETS,2017,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,15,6,Other-Special education students with multiple learning challenges,9,Specialists/Teachers,0,0,0,0,0,0
303,"Hannah Miller, Heather Buhr, Chris Johnson, Jerry Hoepner",AphasiaWeb a social network for individuals with aphasia,"aphasia, social networks",10.1145/2513383.2513439,ASSETS,2013,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,11,11,Cognitive,0,0,0,0,0,0,0,0
304,Dhruv Jain and Leah Findlater and Jamie Gilkeson and Benjamin Holland and Ramani Duraiswami and Dmitry Zotkin and Christian Vogler and Jon E. Froehlich,Head-Mounted Display Visualizations to Support Sound Awareness for the Deaf and Hard of Hearing  ,"accessibility, conversation support, deaf, hard of hearing, head-mounted display, sound visualization, wearable",10.1145/2702123.2702393,CHI,2015,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,28,28,DHH,0,0,0,0,0,0,0,0
305,Ewa Luger and Stuart Moran and Tom Rodden,Consent for all revealing the hidden complexity of terms and conditions,"consent, energy, literacy, readability, smog, usability",10.1145/2470654.2481371,CHI,2013,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
306,"Tusher Chakraborty, Taslim Khan, A. B. M. Al Islam",FLight A Low-Cost Reading and Writing System for Economically Less-Privileged Visually-Impaired People Exploiting Ink-based Braille System,"assistive technology, braille, economically less-privileged people, wearable device",10.1145/3025453.3025646,CHI,2017,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,9,7,BVI,2,Teachers,0,0,0,0,0,0
307,"João Oliveira, Tiago Guerreiro, Hugo Nicolau, Joaquim Jorge, Daniel Gonçalves",Blind people and mobile touch-based text-entry acknowledging the need for different flavors,"blind, individual differences, mobile, text-entry, touch screens",10.1145/2049536.2049569,ASSETS,2011,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,13,13,BVI,0,0,0,0,0,0,0,0
308,"Sabrina Panëels, Adriana Olmos, Jeffrey Blum, Jeremy Cooperstock",Listen to it yourself! evaluating usability of what's around me? for the blind,"audio feedback, mobile interface, visually impaired",10.1145/2470654.2481290,CHI,2013,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,14,14,BVI,0,0,0,0,0,0,0,0
